node_id,rho,neighbourhood_size,subgraph_edges,active_features,degenerate_features,output_bandwidth,output_centered_norm,lipschitz_constant,step_size,converged,iterations,initial_objective,final_objective,objective_reduction,relative_change,num_nonzero,has_full_top_k,max_beta,min_beta,num_top_features,top_10_features,top_10_betas
1971,0.1,26,88,263,1170,0.22797784209251404,6.647634506225586,16.174013137817383,0.06182757392525673,True,289,0.5000001192092896,0.4629303514957428,0.03706976771354675,8.535712581192456e-09,30,True,0.2059752494096756,0.0,10,661;336;135;261;523;6;146;234;285;286,0.2059752494;0.0716065317;0.0443330817;0.0244782716;0.0213302150;0.0151403202;0.0151403202;0.0151403202;0.0151403202;0.0151403202
1971,0.3,26,88,263,1170,0.22797784209251404,6.647634506225586,16.174013137817383,0.06182757392525673,True,181,0.5000001192092896,0.4998321831226349,0.00016793608665466309,7.450580596923828e-09,1,False,0.018327228724956512,0.0,1,661,0.0183272287
1965,0.001,13,28,155,1278,0.2011992186307907,3.6335458755493164,16.490968704223633,0.06063925102353096,True,377,0.4999999701976776,0.34342658519744873,0.15657338500022888,9.992747962428439e-09,110,True,0.14968110620975494,0.0,10,1254;44;48;221;285;303;335;447;540;640,0.1496811062;0.0868161693;0.0287770592;0.0287770592;0.0287770592;0.0287770592;0.0287770592;0.0287770592;0.0287770592;0.0287770592
1965,0.003,13,28,155,1278,0.2011992186307907,3.6335458755493164,16.490968704223633,0.06063925102353096,True,380,0.4999999701976776,0.3463571071624756,0.15364286303520203,9.71492664092466e-09,110,True,0.15107710659503937,0.0,10,1254;44;48;221;285;303;335;447;540;640,0.1510771066;0.0855075940;0.0286032967;0.0286032967;0.0286032967;0.0286032967;0.0286032967;0.0286032967;0.0286032967;0.0286032967
1965,0.01,13,28,155,1278,0.2011992186307907,3.6335458755493164,16.490968704223633,0.06063925102353096,True,359,0.4999999701976776,0.35624587535858154,0.14375409483909607,7.809377144951668e-09,107,True,0.15502743422985077,0.0,10,1254;44;48;221;285;303;335;447;540;640,0.1550274342;0.0810167566;0.0279982202;0.0279982202;0.0279982202;0.0279982202;0.0279982202;0.0279982202;0.0279982202;0.0279982202
1965,0.03,13,28,155,1278,0.2011992186307907,3.6335458755493164,16.490968704223633,0.06063925102353096,True,335,0.4999999701976776,0.3817180395126343,0.11828193068504333,7.50495221524261e-09,102,True,0.15187713503837585,0.0,10,1254;44;48;221;285;303;335;447;540;640,0.1518771350;0.0695417002;0.0263164826;0.0263164826;0.0263164826;0.0263164826;0.0263164826;0.0263164826;0.0263164826;0.0263164826
1965,0.1,13,28,155,1278,0.2011992186307907,3.6335458755493164,16.490968704223633,0.06063925102353096,True,254,0.4999999701976776,0.4433150291442871,0.0566849410533905,7.450580596923828e-09,42,True,0.1276061236858368,0.0,10,1254;44;48;221;285;303;335;447;540;640,0.1276061237;0.0289317351;0.0204022583;0.0204022583;0.0204022583;0.0204022583;0.0204022583;0.0204022583;0.0204022583;0.0204022583
1965,0.3,13,28,155,1278,0.2011992186307907,3.6335458755493164,16.490968704223633,0.06063925102353096,True,13,0.4999999701976776,0.4994111955165863,0.0005887746810913086,6.177695244247161e-09,11,True,0.003119630739092827,0.0,10,48;221;285;303;335;447;540;640;725;936,0.0031196307;0.0031196307;0.0031196307;0.0031196307;0.0031196307;0.0031196307;0.0031196307;0.0031196307;0.0031196307;0.0031196307
2002,0.001,80,206,570,863,0.3460208475589752,16.051143646240234,12.222575187683105,0.08181581646203995,True,1239,0.5,0.33834075927734375,0.16165924072265625,9.897399344538371e-09,201,True,0.22519375383853912,0.0,10,474;647;507;774;125;661;77;1091;146;1209,0.2251937538;0.1724536568;0.1465165019;0.1022835448;0.0745536909;0.0734826922;0.0701586157;0.0648690909;0.0630639791;0.0573573820
2002,0.003,80,206,570,863,0.3460208475589752,16.051143646240234,12.222575187683105,0.08181581646203995,True,1239,0.5,0.34322741627693176,0.15677258372306824,9.86100268107748e-09,200,True,0.22510911524295807,0.0,10,474;647;507;774;125;661;77;1091;146;1209,0.2251091152;0.1717818975;0.1463669986;0.1025325656;0.0738480985;0.0722138509;0.0689215511;0.0634315386;0.0611158535;0.0571814105
2002,0.01,80,206,570,863,0.3460208475589752,16.051143646240234,12.222575187683105,0.08181581646203995,True,1268,0.5,0.35881170630455017,0.14118829369544983,9.79065983841565e-09,127,True,0.22432789206504822,0.0,10,474;647;507;774;125;661;77;1091;1209;146,0.2243278921;0.1692945212;0.1454929262;0.1030934304;0.0707150474;0.0679470301;0.0640473068;0.0584273934;0.0561015867;0.0543322973
2002,0.03,80,206,570,863,0.3460208475589752,16.051143646240234,12.222575187683105,0.08181581646203995,True,1041,0.5,0.3933604061603546,0.10663959383964539,9.98732208046249e-09,68,True,0.2206304669380188,0.0,10,474;647;507;774;125;661;77;1209;99;1091,0.2206304669;0.1613395959;0.1412831396;0.0979585797;0.0608930662;0.0541097596;0.0502293594;0.0490803644;0.0442484170;0.0439317860
